id,name,ragam,talam,type,language
1,āj āyē,1,1,1,1
2,āj unīndē,2,2,2,1
3,ānandavalli,3,3,3,2
4,āndoḷikā vāhanē,4,4,4,4
5,āñjanēya,5,3,3,2
6,ārādhayāmi,6,4,3,2
7,āyē giridhar,7,3,1,1
8,abadh sukhadāyī,8,3,1,1
9,ab tō bairāgin,9,3,5,1
10,adrisutāvara,10,3,3,2
11,ahaha naiva janē,1,5,6,2
12,ahō citta,11,4,3,2
13,alam anagha,12,6,7,2
14,alarśaraparitāpaṃ,13,4,7,4
15,āli mē tō jamunā,14,3,5,1
16,Aliveni yentucheyvu,15,7,7,4
17,Amunabhoomidevena,16,3,6,2
18,Anaamilo mahaboob,6,3,1,1
19,Atthaliyanneedunnu,17,7,7,4
20,Ayi sakhi tapam,18,7,7,4
21,Ayyayyo kintu,19,7,7,4
22,Baajat murali,20,8,8,1
23,Baalike moham,4,3,7,4
24,Bajat badhayi,21,3,8,1
25,Bansi baalee,22,3,1,1
26,Bhaasurangi baale,5,7,7,4
27,Bhaavayaaminanda,23,5,3,2
28,Bhaavayaami raghuraamam,24,3,3,2
29,Bhaavayegopaalam,25,5,3,2
30,Bhaavaye padmanaabham,26,3,3,2
31,Bhaavaye saarasanaabham,27,3,3,2
32,Bhaavaye śrīgopaalam,28,5,3,2
33,Bhaavaye śrījaanaki,29,3,3,2
34,Bhagavan samayoyam,30,3,3,2
35,Bhai lo piya,13,3,1,1
36,Bhajabhajamaanasa,31,3,6,2
37,Bhajasi na kim,1,3,6,2
38,Bhakta paarayana,11,4,3,2
39,Bharati maamava,32,3,3,2
40,Bhavadiya katha,7,3,3,2
41,Bhavati visvaaso,33,7,3,2
42,Bho chinthayami,7,6,3,2
43,Bhogindrasaayinam,34,6,3,2
44,Bhujagasaayinonaama,35,5,6,2
45,Braj ki chabi,36,2,1,1
46,Chaaru pankaja,37,3,3,2
47,Chalamela,11,1,9,5
48,Chaliye kunjana mo,38,9,2,1
49,Chapala sampadaniha,7,7,9,2
50,Chentaarsaayakaroopa,36,6,7,4
51,Chintayaami te,7,3,3,2
52,Chinthaye padmanaabham,22,4,3,2
53,Daani saamajendra,32,3,9,2
54,Devadevajagadisvara,39,3,3,2
55,Devadevakalayaami,40,5,3,2
56,Deva deva kalpayaami,19,5,3,2
57,Deva deva maam paala,32,4,3,2
58,Devaki suta paahimaam,26,3,3,2
59,Deva maamayi,41,4,3,2
60,Devana ke pathi,42,2,2,1
61,Deva Paalaya Muraare,30,3,3,2
62,Devi Giri Kanye,18,3,3,2
63,Devi jagajjanani,11,3,3,2
64,Devi paavane,5,3,3,2
65,Dhanyayaayi njan,43,6,7,4
